pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_met
2.23,16.3,546.0,41.6855,0.241,G,5766.0,-0.15
12.442,2002.31896,434.0,402000000.0,7506.0,M3 V,3406.0,0.0
10.87,874.0,600.0,13.2406,0.1055,K1 V,5075.0,0.26
16.03,740.51,1657.0,2.99433,0.0436,F6 V,6440.0,-0.03
9.92,415.704,1700.0,4.03519,0.051,G0 V,5945.0,0.01
12.22,2415.4,1952.0,1.51214,0.027,F9 V,6035.0,0.05
11.43,772.29,1626.0,3.7681,0.0461,G2 V,5740.0,0.0
14.68,1102.82,1550.0,1.9000693,0.0295,G9 V,5440.0,-0.1
14.46,352.78,2000.0,3.89713,0.0518,F9 V,6090.0,-0.02
9.42,1347.54,1002.0,9.24285,0.0902,G2 V,5880.0,0.14
4.88,12.2,885.0,9.75598,0.092,G3 V,5939.0,0.17
11.77,889.9,1660.0,3.6313,0.048,G0 V,5900.0,0.05
3.7,5.7,1070.0,5.1134,0.056,K1 V,4950.0,0.3
5.0,28.0,850.0,11.759,0.098,K1 V,4950.0,0.3
12.11,85.81,1330.0,4.86069,0.0578,F9,6040.0,-0.01
14.12,165.26,1600.0,4.20474,0.0526,G5,5590.0,0.01
11.287,3302.11,1500.0,3.57532,0.0476,G2,5900.0,-0.1
18.831,349.61125,1747.0,3.22748,0.0429,F6 V,6390.0,-0.5
15.805,216.12332,1567.0,5.616531,0.066,F3 V,6730.0,-0.1
15.558,148.42,1438.0,4.0378962,0.04947,F9 V,6100.0,-0.25
13.068,940.74,1017.0,8.886593,0.0855,F9 V,6090.0,-0.2
6.389,47.6745,938.0,6.71837,0.071,G0 VI,5970.0,0.0
6.12,27.0,886.0,19.49213,0.148,G0,6025.0,0.1
1.52,8.36,2333.0,0.571292,0.0116,G5 V,5470.0,-0.025
2.5,5.8,774.0,13.3397,0.105,G5 V,5470.0,-0.025
11.781,953.49,1401.0,6.180235,0.07229,F5 V,6202.0,0.141
1.95,8.75,1616.0,3.5951,0.047,G8 IV/V,5430.0,0.2
3.67,14.67,990.0,15.624,0.13,G8 IV/V,5430.0,0.2
3.94,10.18,752.0,35.747,0.22,G8 IV/V,5430.0,0.2
2.025,11.7,456.0,5.746007,0.0385,M2.5 V,3348.0,0.04
2.742,8.17,596.0,1.58040433,0.0149,M4 V,3250.0,0.29
1.193,2.09,1089.0,0.5182349,0.00916,M3,3458.0,0.1
2.61,22.7,422.0,35.61253,0.1915,K4.5,4640.0,0.003
2.13,3.34,693.0,2.8531054,0.03165,M2 V,3556.0,-0.06
1.217,1.84,525.0,3.93072,0.035,M2.5 V,3505.0,-0.12
0.718,0.546,1745.0,0.321962,0.0071,M1.0 V,3522.0,-0.01
0.699,0.633,1365.0,0.3219225,0.00709,M1.0 V,3522.0,-0.01
1.15,1.21,569.0,2.6162745,0.02569,M3.5 V,3369.0,0.0
2.63,7.6,309.0,50.8,0.2324,K7 V,4120.0,0.24
8.4,53.83,125.0,749.83,1.4,K7 V,4120.0,0.24
1.343,3.0,706.0,1.4671205,0.01713,M3.5 V,3291.0,-0.15
1.305,2.82,701.0,1.467119,0.01734,M3.5 V,3340.0,0.07
1.331,1.9,940.0,0.9263237,0.01406,M1.5 V,3600.0,-0.28
1.44,4.28,1035.0,1.208974,0.0189,K7 V,4236.0,-0.29
1.58,3.69,1114.0,1.208966,0.0206,K6 V,4219.0,-0.29
1.62,3.42,1172.0,1.2089802,0.01888,K5 V,4269.0,-0.5
1.269,2.42,811.0,3.648083,0.03942,K5 V,4269.0,-0.5
1.13,1.86,716.0,3.648103,0.0395,K7 V,4236.0,-0.29
1.24,1.45,771.0,3.64823,0.0429,K6 V,4219.0,-0.29
2.07,5.2,680.0,6.201467,0.05615,K5 V,4269.0,-0.5
1.98,3.02,675.0,6.20183,0.053,K7 V,4236.0,-0.29
1.89,3.02,600.0,6.201812,0.0563,K7 V,4236.0,-0.29
2.04,2.35,646.0,6.20142,0.0611,K6 V,4219.0,-0.29
16.477,6261.21962,2300.0,1.744579,0.0338,F2,7000.0,0.35
0.958,3.87,315.0,12.761408,0.0668,M3.0 V,3296.0,-0.32
0.9,10.0,315.0,12.76142,0.067,M4 V,3253.0,-0.29
4.73,25.743,878.0,4.8878162,0.053,K4,4780.0,0.31
10.749,67.059,963.0,3.2130598,0.0384,K4,4650.0,-0.29
14.359,271.098,1653.0,2.91626,0.0427,G4,5653.0,0.41
12.89,709.367,1570.0,4.627669,0.0606,F,6600.0,0.11
13.451,724.6524,1612.0,4.627649,0.0596,F5 V,6583.0,0.08
12.016,618.471,904.0,10.863502,0.0964,G5,5568.0,0.22
14.448,1332.605,1626.0,2.77596,0.0413,F8,6158.0,0.17
11.321,169.71,792.0,10.338523,0.0882,K,5246.0,0.0
11.153,62.61,852.0,5.508023,0.0559,K2,4803.0,0.1
12.689,92.802,1010.0,4.008778,0.0466,K1,4990.0,0.23
9.718,2302.899,970.0,2.875317,0.0361,K3,4595.0,0.35
11.478,1291.289,1283.0,4.124481,0.0494,G3,5588.0,0.01
11.882,696.68336,1293.0,3.21223328,0.04171,G5 V,5314.0,0.3
12.106,682.352,1283.0,3.21222,0.0414,G5,5302.0,0.24
15.334,664.237,2056.0,1.212884,0.0232,G0,5905.0,0.15
13.922,217.704,1637.0,3.35524,0.0465,F8,6373.0,-0.16
13.339,180.202,1202.0,3.652836,0.0466,G5,5500.0,0.31
6.333,18.751,1001.0,4.234516,0.0479,K1,5079.0,-0.04
13.585,198.953,1384.0,3.257215,0.0434,G3,5680.0,0.12
12.408,247.261,1260.0,5.723186,0.0667,F8,6087.0,0.21
14.617,588.62116,1788.0,1.32734683,0.02388,G5 V,5620.0,0.25
15.838,549.823,2131.0,2.691548,0.0438,F,6820.0,0.074
15.838,587.9855,2200.0,2.465295,0.0406,A8 V,7500.0,-0.25
21.185,167.49641,1930.0,2.6054552,0.03951,G2,5835.0,0.1
17.822,248.86089,1896.0,2.972086,0.04363,G0,6002.0,0.035
12.016,230.10892,1028.0,2.29840551,0.02996,K,4508.0,-0.059
16.926,270.1555,1637.0,3.6191613,0.04614,G0,6060.0,-0.39
15.132,756.4354,2097.0,3.142833,0.04795,F,6408.0,-0.1
12.386,689.6911,1505.0,1.74748753,0.02712,G9 V,5311.0,0.0
14.572,1039.3041,1592.0,2.686502,0.03744,G3 V,5738.0,-0.1
8.709,425.25654,814.0,16.254611,0.1308,G V,5846.0,0.3
14.986,629.3034,2060.0,0.8378434,0.01761,G V,5600.0,0.28
13.092,427.463,1577.0,1.354133,0.023,K,5227.0,0.15
10.682,870.8542,858.0,4.7228124,0.05025,K V,4803.0,0.0
20.849,467.2101,1654.0,2.1605156,0.03397,G V,5780.0,0.28
16.668,775.5052,2067.0,1.3484954,0.02547,F V,6346.0,0.0
14.123,194.82979,1277.0,4.2986432,0.05163,G,5715.0,0.02
19.616,206.5895,1918.0,3.3023881,0.04735,F,6071.0,-0.02
16.814,168.4499,1659.0,4.637038,0.0611,F,6438.0,0.09
13.384,213.58176,1253.0,3.1810781,0.04131,G,5498.0,0.01
14.022,207.54299,1212.0,4.6058749,0.05475,G,5670.0,0.16
15.48,340.382,1648.0,3.547851,0.0485,F,6351.0,-0.157
13.171,224.38798,1414.0,3.1743516,0.04354,G,5943.0,0.06
